Dangerous (2020) SO1 EO3        ,https://cineru.lk/dangerous-2020-so1-eo3-sinhala-subtitle/
Cocktail (2020)       ,https://cineru.lk/cocktail-2020-sinhala-sub/
Its Okay to Not Be Okay (2020) E11E12          ,https://cineru.lk/its-okay-to-not-be-okay-2020-e11-e12-sinhala-subtitle/
Operation Cobra (2019) S1 Epi 1        ,https://cineru.lk/operation-cobra-2019-season-1-episode-1-sinhala-subtitle/
Kidaari (2016)        ,https://cineru.lk/kidaari-2016-sinhala-sub/
Train (2020) E11E12  Everything is connected    ,https://cineru.lk/train-2020-e11-e12-sinhala-subtitle/
Dangerous (2020) S01 E04E05        ,https://cineru.lk/dangerous-2020-s01-e04-e05-sinhala-subtitle/
Into The Ring (2020) E09 E10    ,https://cineru.lk/into-the-ring-2020-e09-e10-sinhala-sub/
Nightmare Teacher (2016) E01E02          ,https://cineru.lk/nightmare-teacher-2016-e01-e02-sinhala-subtitle/
SF8 (2020) E01       ,https://cineru.lk/sf8-2020-e01-sinhala-subtitle/
SF8 (2020) E02   App    ,https://cineru.lk/sf8-2020-e02-sinhala-sub/
Kolanji (2019)          ,https://cineru.lk/kolanji-2019-sinhala-sub/
Warning Do Not Play (2019)      ,https://cineru.lk/warning-do-not-play-2019-sinhala-sub/
Bad Genius (2020) E06      ,https://cineru.lk/bad-genius-2020-e06-sinhala-sub/
Bad Genius (2020) E05     ,https://cineru.lk/bad-genius-2020-e05-sinhala-sub/
Steel Rain 2 (2020)     ,https://cineru.lk/steel-rain-2-2020-sinhala-sub/
Van Helsing S01E07 (2016)     ,https://cineru.lk/van-helsing-s01e07-2016-sinhala-sub/
Trackers (2019) Complete Season      ,https://cineru.lk/trackers-2019-complete-season-sinhala-sub/
Rugal (2020) E15        ,https://cineru.lk/rugal-2020-e15-sinhala-subtitle/
Elite (2019) Complete Season 02      ,https://cineru.lk/elite-2018-complete-season-02-sinhala-sub/
Nightmare Teacher (2016) E05E06     ,https://cineru.lk/nightmare-teacher-2016-e05-e06-sinhala-sub/
Bad Genius (2020) E07      ,https://cineru.lk/bad-genius-2020-e07-sinhala-sub/
Nightmare Teacher (2016) E03E04      ,https://cineru.lk/nightmare-teacher-2016-e03-e04-sinhala-sub/
Arthdal Chronicles (2019) S03E04     ,https://cineru.lk/arthdal-chronicles-2019-s03e04-sinhala-subtitles/
Iris II (2013) S02E03     ,https://cineru.lk/iris-ii-2013-s02e03-sinhala-sub/
Salem S01E05 (2014)      ,https://cineru.lk/salem-s01e05-2014-sinhala-sub/
Kootathil Oruthan (2017)      ,https://cineru.lk/kootathil-oruthan-2017-sinhala-sub/
Goedam (2020) Complete Season    ,https://cineru.lk/goedam-2020-sinhala-sub/
Nightmare Teacher (2016) E09E10     ,https://cineru.lk/nightmare-teacher-2016-e09-e10-sinhala-sub/
Our Planet S01E03 (2019)       ,https://cineru.lk/our-planet-s01e03-2019-sinhala-sub/
The Hard Way (2019)    ,https://cineru.lk/the-hard-way-2019-sinhala-sub/
Backstreet Rookie (2020) E11         ,https://cineru.lk/backstreet-rookie-2020-e11-sinhala-subtitle/
Nightmare Teacher (2016) E07E08     ,https://cineru.lk/nightmare-teacher-2016-e07-e08-sinhala-sub/
Bad Genius (2020) E08     ,https://cineru.lk/bad-genius-2020-e08-sinhala-sub/
Newness (2017)     ,https://cineru.lk/newness-2017-sinhala-sub/
Rogue (2020)   ,https://cineru.lk/rogue-2020-sinhala-sub/
Van Helsing S01E08 (2016)     ,https://cineru.lk/van-helsing-s01e08-2016-sinhala-sub/
Its Okay to Not Be Okay (2020) E09E10           ,https://cineru.lk/its-okay-to-not-be-okay-2020-e09-e10-sinhala-sub/
Its Okay to Not Be Okay (2020) E13E14        ,https://cineru.lk/its-okay-to-not-be-okay-2020-e13-e14-sinhala-subtitle/
Secret Queen Makers (2018) Complete Season     ,https://cineru.lk/secret-queen-makers-2018-complete-season-sinhala-sub/
Nightmare Teacher (2016) E11E12     ,https://cineru.lk/nightmare-teacher-2016-e11-e12-sinhala-sub/
Its Okay to Not Be Okay (2020) E15E16 END           ,https://cineru.lk/its-okay-to-not-be-okay-2020-e15-e16-end-sinhala-subtitle/
La Mante (2017) E05     ,https://cineru.lk/la-mante-2017-e05-sinhala-sub/
Backstreet Rookie (2020) E12         ,https://cineru.lk/backstreet-rookie-2020-e12-sinhala-subtitle/
Die Hart (2020) Complete Season     ,https://cineru.lk/die-hart-2020-sinhala-sub/
La Mante (2017) E04       ,https://cineru.lk/la-mante-2017-e04-sinhala-sub/
MrBean (1990)(1995) Complete Season     ,https://cineru.lk/mr-bean-1990-1995-complete-season-sinhala-sub/
Bad Genius (2020) E09     ,https://cineru.lk/bad-genius-2020-e09-sinhala-sub/
La Mante (2017) E02     ,https://cineru.lk/la-mante-2017-e02-sinhala-sub/
Musudan (2016)        ,https://cineru.lk/musudan-2016-sinhala-sub/
When The Weather Is Fine S01E01       ,https://cineru.lk/when-the-weather-is-fine-s01e01-sinhala-subtitles/
La Mante (2017) E01     ,https://cineru.lk/la-mante-2017-e01-sinhala-sub/
Flower Of Evil (2020) E01E02         ,https://cineru.lk/flower-of-evil-2020-e01-e02-sinhala-sub/
SF8 (2020) E03        ,https://cineru.lk/sf8-2020-e03-sinhala-subtitle/
